,Rank,Stock_id,Company_name,Proportion
580,581,2722,夏都,0.00012200000000000001
581,582,6197,佳必琪,0.00012200000000000001
582,583,5285,界霖,0.000121
583,584,8481,政伸,0.000121
584,585,1446,宏和,0.000121
585,586,2020,美亞,0.000121
586,587,2493,揚博,0.00012
587,588,8105,凌巨,0.00012
588,589,3048,益登,0.000119
589,590,2414,精技,0.000118
590,591,2233,宇隆,0.000117
591,592,6668,中揚光,0.000117
592,593,3679,新至陞,0.000117
593,594,3583,辛耘,0.000114
594,595,6558,興能高,0.000114
595,596,6128,上福,0.000113
596,597,2476,鉅祥,0.000113
597,598,1734,杏輝,0.000112
598,599,3416,融程電,0.000112
599,600,4555,氣立,0.000112
600,601,1786,科妍,0.000111
601,602,1108,幸福,0.000111
602,603,2528,皇普,0.000111
603,604,3209,全科,0.00010999999999999999
604,605,1457,宜進,0.00010899999999999999
605,606,1626,艾美特-KY,0.00010899999999999999
606,607,6209,今國光,0.00010899999999999999
607,608,6288,聯嘉,0.00010899999999999999
608,609,1436,華友聯,0.00010800000000000001
609,610,2369,菱生,0.00010800000000000001
610,611,6698,旭暉應材,0.000107
611,612,4934,太極,0.000106
612,613,2423,固緯,0.000105
613,614,2506,太設,0.000105
614,615,1217,愛之味,0.000105
615,616,1525,江申,0.000105
616,617,2115,六暉-KY,0.000104
617,618,2748,雲品,0.000104
618,619,4526,東台,0.000104
619,620,2484,希華,0.000103
620,621,2374,佳能,0.00010200000000000001
621,622,2642,宅配通,0.00010200000000000001
622,623,3038,全台,0.00010200000000000001
623,624,2062,橋椿,0.00010200000000000001
624,625,1439,中和,0.00010200000000000001
625,626,3712,永崴投控,0.00010200000000000001
626,627,6108,競國,0.00010200000000000001
627,628,4106,雃博,0.000101
628,629,2495,普安,0.000101
629,630,1449,佳和,0.0001
630,631,4560,強信-KY,0.0001
631,632,5519,隆大,0.0001
632,633,4108,懷特,9.900000000000001e-05
633,634,1339,昭輝,9.900000000000001e-05
634,635,1233,天仁,9.900000000000001e-05
635,636,2405,浩鑫,9.8e-05
636,637,3041,揚智,9.8e-05
637,638,4572,駐龍,9.8e-05
638,639,8478,東哥遊艇,9.8e-05
639,640,1612,宏泰,9.7e-05
640,641,3167,大量,9.599999999999999e-05
641,642,4952,凌通,9.599999999999999e-05
642,643,2359,所羅門,9.499999999999999e-05
643,644,1541,錩泰,9.499999999999999e-05
644,645,2636,台驊投控,9.400000000000001e-05
645,646,6655,科定,9.400000000000001e-05
646,647,3004,豐達科,9.3e-05
647,648,2462,良得電,9.3e-05
648,649,1530,亞崴,9.3e-05
649,650,1341,富林-KY,9.2e-05
650,651,1323,永裕,9.2e-05
651,652,2028,威致,9.2e-05
652,653,2537,聯上發,9.2e-05
653,654,3032,偉訓,9.2e-05
654,655,4999,鑫禾,9.2e-05
655,656,3605,宏致,9.1e-05
656,657,6201,亞弘電,9.1e-05
657,658,2030,彰源,8.999999999999999e-05
658,659,1451,年興,8.9e-05
659,660,1473,台南,8.9e-05
660,661,4989,榮科,8.9e-05
661,662,3518,柏騰,8.800000000000001e-05
662,663,3622,洋華,8.800000000000001e-05
663,664,6283,淳安,8.800000000000001e-05
664,665,2705,六福,8.800000000000001e-05
665,666,2430,燦坤,8.800000000000001e-05
666,667,8021,尖點,8.7e-05
667,668,3055,蔚華科,8.6e-05
668,669,8104,錸寶,8.5e-05
669,670,4967,十銓,8.5e-05
670,671,4571,鈞興-KY,8.5e-05
671,672,4722,國精化,8.5e-05
672,673,3669,圓展,8.4e-05
673,674,5515,建國,8.4e-05
674,675,6168,宏齊,8.3e-05
675,676,4557,永新-KY,8.3e-05
676,677,3031,佰鴻,8.3e-05
677,678,1713,國化,8.3e-05
678,679,2017,官田鋼,8.2e-05
679,680,4566,時碩工業,8.2e-05
680,681,1810,和成,8.099999999999999e-05
681,682,1459,聯發,8.099999999999999e-05
682,683,2739,寒舍,8.099999999999999e-05
683,684,2417,圓剛,8e-05
684,685,1533,車王電,7.900000000000001e-05
685,686,2009,第一銅,7.900000000000001e-05
686,687,1725,元禎,7.900000000000001e-05
687,688,9944,新麗,7.900000000000001e-05
688,689,3437,榮創,7.8e-05
689,690,3528,安馳,7.7e-05
690,691,3701,大眾控,7.7e-05
691,692,4148,全宇生技-KY,7.7e-05
692,693,6449,鈺邦,7.7e-05
693,694,8467,波力-KY,7.7e-05
694,695,1235,興泰,7.7e-05
695,696,2457,飛宏,7.7e-05
696,697,2390,云辰,7.6e-05
697,698,2906,高林,7.6e-05
698,699,2008,高興昌,7.6e-05
699,700,8497,格威傳媒,7.6e-05
700,701,6442,光聖,7.6e-05
701,702,1733,五鼎,7.5e-05
702,703,1615,大山,7.5e-05
703,704,3052,夆典,7.5e-05
704,705,3040,遠見,7.400000000000001e-05
705,706,2425,承啟,7.400000000000001e-05
706,707,4155,訊映,7.3e-05
707,708,8442,威宏-KY,7.3e-05
708,709,6443,元晶,7.2e-05
709,710,6671,三能-KY,7.2e-05
710,711,2461,光群雷,7.2e-05
711,712,3024,憶聲,7.2e-05
712,713,3305,昇貿,7.1e-05
713,714,6216,居易,7.1e-05
714,715,3694,海華,7.1e-05
715,716,8249,菱光,7.1e-05
716,717,1531,高林股,7.000000000000001e-05
717,718,1467,南緯,7.000000000000001e-05
718,719,2069,運錩,7.000000000000001e-05
719,720,1452,宏益,6.9e-05
720,721,2488,漢平,6.9e-05
721,722,4916,事欣科,6.9e-05
722,723,4976,佳凌,6.9e-05
723,724,6141,柏承,6.9e-05
724,725,6641,基士德-KY,6.9e-05
725,726,2702,華園,6.7e-05
726,727,2442,新美齊,6.6e-05
727,728,1817,凱撒衛,6.6e-05
728,729,1806,冠軍,6.6e-05
729,730,6136,富爾特,6.6e-05
730,731,5706,鳳凰,6.5e-05
731,732,5258,虹堡,6.5e-05
732,733,4141,龍燈-KY,6.5e-05
733,734,2483,百容,6.5e-05
734,735,3164,景岳,6.5e-05
735,736,3054,立萬利,6.4e-05
736,737,1721,三晃,6.4e-05
737,738,1416,廣豐,6.4e-05
738,739,3356,奇偶,6.4e-05
739,740,6235,華孚,6.4e-05
740,741,8103,瀚荃,6.4e-05
741,742,8367,建新國際,6.4e-05
742,743,4545,銘鈺,6.3e-05
743,744,1463,強盛,6.3e-05
744,745,2365,昆盈,6.3e-05
745,746,2007,燁興,6.2e-05
746,747,6155,鈞寶,6.2e-05
747,748,6477,安集,6.1000000000000005e-05
748,749,8261,富鼎,6.1000000000000005e-05
749,750,1506,正道,6.1000000000000005e-05
750,751,1526,日馳,6.1000000000000005e-05
751,752,1316,上曜,6.1000000000000005e-05
752,753,3013,晟銘電,6.1000000000000005e-05
753,754,2613,中櫃,6e-05
754,755,2022,聚亨,5.9e-05
755,756,1618,合機,5.9e-05
756,757,8011,台通,5.9e-05
757,758,6142,友勁,5.7999999999999994e-05
758,759,4956,光鋐,5.7999999999999994e-05
759,760,3346,麗清,5.7999999999999994e-05
760,761,1220,台榮,5.7999999999999994e-05
761,762,1410,南染,5.7999999999999994e-05
762,763,1906,寶隆,5.7e-05
763,764,2497,怡利電,5.7e-05
764,765,2406,國碩,5.7e-05
765,766,3060,銘異,5.7e-05
